generic_words;jisdd_words
titularidade;antecedente
aberto;antecedentes
monopolio;autossustentabilidade
opiniao;autossustentado
radios;autossustentar
estacoes;autossustentaveis
privatizacao;autossustentavel
imprensa;autosustentabilidade
religiosas;autosustentado
pluralismo;biossustentaveis
reestruturacao;descendente
estatal;descendentes
maioritario;ecossustentaveis
publicidade;entre geracoes
aparentemente;geracao anterior
radio;geracao distinta
oposicao;geracao futura
jornalistas;geracao mais jovem
publicamente;geracao mais velha
jornais;geracao presente
servico publico;geracao seguinte
cinema;geracao vindoura
servico;geracoes anteriores
conteudos;geracoes distintas
concessao;geracoes futuras
orgaos;geracoes mais jovens
radio televisao;geracoes mais velhas
buraco;geracoes presentes
comunicacao;geracoes seguintes
canais;geracoes vindouras
diaspora;insustentabilidade
pluralidade;insustentabilidades
canal;insustentaveis
operadores;insustentavel
interesse;insustentavelmente
audiovisual;intergeracionais
lusa;intergeracional
indemnizacao;intergeracionalidade
televisao;intergeracionalmente
publico;justica entre geracoes
escrita;justica intergeracional
rtp;nova geracao
difusao;novas geracoes
comunicacao social;proxima geracao
plural;proximas geracoes
privada;sustenta
empresa;sustentabilidade
espectro;sustentabilidades
agencia;sustentabilizacao
clareza;sustentadamente
aereo;sustentadoras
contrapartidas;sustentatibilidade
falencia;sustentaveis
auditoria;sustentavel
negocio;sustentavelmente
viabilizar;
stcp;
companhias;
privatizacoes;
operacao;
privatizacao;
emef;
tap;
reestruturacao;
maioritario;
companhia;
concessoes;
viabilidade;
operacionais;
nacionalizacao;
pt;
clientes;
atirar;
entregar;
despedimento;
ana;
claras;
concessao;
aerea;
ctt;
bandeira;
investidores;
acionistas;
egf;
viabilizacao;
vender;
naval;
interesse;
ideologica;
alienacao;
reestruturar;
rtp;
privatizar;
privados;
edp;
privada;
capital;
dividendos;
empresa;
estaleiros;
terras;
agua;
intensivas;
beja;
algarve;
agroalimentar;
escoamento;
alimentar;
biodiversidade;
alqueva;
pdr;
proder;
produtos;
produtivos;
comunitario;
superficie;
arvores;
agricola;
guadiana;
vinho;
fileira;
rega;
olival;
desertificacao;
pesticidas;
seca;
desenvolvimento rural;
florestal;
ministerio agricultura;
agricultores;
terrenos;
produzir;
fundiaria;
rurais;
produtores;
albufeira;
culturas;
intensivo;
agricultura;
cereais;
ambientais;
pecuaria;
exploracoes agricolas;
regadio;
cultivo;
terra;
rural;
barragens;
exploracoes;
alentejo;
perimetro;
produtivo;
agricolas;
intensiva;
empreendimento;
pequenos;
alentejano;
biologica;
paisagem;
tradicional;
alimentos;
fileiras;
solos;
ministro agricultura;
agricultura portuguesa;
agricultor;
reconversao;
mondego;
producao;
produtiva;
pac;
pequena;
barragem;
pescas;
producoes;
ajudas;
autoctones;
hectares;
ambiente;
ambiente desenvolvimento;
ecologica;
contaminacao;
estudos;
pdr;
rio;
plano accao;
materias-primas;
defesa floresta;
mares;
espanhol;
fosseis;
fileira;
florestas;
incineracao;
venda;
impactes;
bacias hidrograficas;
estufa;
climaticas;
tarifas;
urbanos;
paises;
tratamento;
especies;
energeticos;
negativos;
orla;
energia;
minimizar;
unidas sobre;
eolica;
fronteiras;
residuos solidos;
governo espanhol;
alerta;
ecologista;
padroes;
natural;
carbonica;
politica ordenamento;
estados;
sistemas multimunicipais;
eco;
tarifario;
ameaca;
localizacao;
usados;
plano ordenamento;
cimeira joanesburgo;
natureza biodiversidade;
tragedia;
calamidade;
consumidores;
abastecimento;
ecologicos;
discussao publica;
governamentais;
povos;
estuario;
energeticas;
junto;
consulta publica;
pdm;
area ambiente;
agua nao;
barragens;
reuniao;
partilha;
licenciamento;
consumir;
protocolo;
instituto conservacao;
interessados;
extraordinariamente;
politicas ambiente;
politicas ambientais;
avaliacao;
gestao recursos;
planeamento;
projecto;
florestais;
flora;
energias;
naturais;
alteracoes;
reutilizacao;
neutralidade;
recursos hidricos;
eucalipto;
conservacao natureza;
areas;
protegidas;
pnpot;
sitios;
joanesburgo;
elaboracao plano;
problematica;
comissao tecnica;
ambiental nao;
fronteira;
caudais;
inertes;
electricidade;
assinada;
tomada;
barragem;
gestao;
lei agua;
danos;
mundial;
recursos;
cidades ordenamento;
autoctones;
riscos;
perigo;
matas;
sustentavel recursos;
hectares;
ecossistemas;
praias;
ambiente saude;
agua;
carbono;
parecer;
habitos;
consumidor;
industriais;
ministerio ambiente;
alimentar;
ong;
declaracao;
estrategia nacional;
orla costeira;
consumo;
embalagens;
realizada;
onu;
materiais;
recolha;
bacia;
ria;
guadiana;
renovavel;
desperdicio;
perigosos;
descarbonizacao;
floresta portuguesa;
fatura;
ecologico;
paz;
titularidade;
iberica;
solucao;
verao;
seca;
incendios florestais;
utilizacao;
bilateral;
campanhas;
emissoes;
eletrica;
perigos;
hidrica;
ambiente sr;
documento;
quantidade;
fogos;
centrais;
monitorizacao;
internacionais;
saneamento;
quantidades;
produzidos;
empreendimentos;
limpas;
plastico;
impactos;
solidos urbanos;
conferencia;
bacias;
electrica;
patrimonio;
hidricos;
parque natural;
america;
decisao;
estrategia;
clima;
aguas;
transversalidade;
nucleares;
rural;
biomassa;
balanco;
franca;
elaboracao;
gestoras;
natura;
india;
despovoamento;
floresta;
egf;
produtor;
construcoes;
incendios;
alentejano;
estudo impacte;
cimenteiras;
sistemas;
fogos florestais;
nacional politica;
renovaveis;
tratar;
residuos;
plasticos;
pin;
avaliacao impacte;
verde;
deposicao;
gestao residuos;
nacional agua;
sobre desenvolvimento;
chefes;
litoral;
aquecimento;
tratamento residuos;
sensibilizacao;
impacto ambiental;
aeroporto;
desenvolvimento sustentavel;
espanha;
lixo;
espanhola;
estudo;
toneladas;
ambiente ordenamento;
transposicao;
area protegida;
biodiversidade;
inventario;
lei-quadro;
produtos;
incendio;
impacte;
carvao;
procedimento;
tejo;
golfe;
nacional ambiente;
metas;
preservacao;
plano nacional;
bilaterais;
comerciais;
unidas;
pacifica;
recusou;
alternativas;
agenda;
aterro;
multimunicipais;
impacte ambiental;
cascais;
estabelece;
circular;
utilizacoes;
usos;
projectos;
politica ambiente;
instalacao;
gases;
ordenamento;
diplomas;
sector florestal;
rurais;
produtores;
verdes;
legislacao;
albufeira;
nacoes unidas;
sobre ambiente;
sustentavel;
aterros;
conservacao;
areas protegidas;
propoem;
costa;
cimeira;
qualidade ambiente;
cadeia;
ambiente nao;
exploracoes;
fiscalidade;
nacional desenvolvimento;
oceanos;
ambiente recursos;
planos ordenamento;
ambientalmente;
tarifa;
escassez;
reciclagem;
japao;
solar;
produtores florestais;
conferencia rio;
paisagem;
acidente;
co;
natureza;
energetica;
propriedade;
ambiente portugal;
valores naturais;
producao residuos;
ota;
urbanismo;
residuos industriais;
nacoes;
alertar;
ce;
parque;
definitivo;
habitats;
espanhois;
territorio ambiente;
eua;
gestao sustentavel;
zonas;
orador;
utilizadores;
ambiental;
fogo;
serra;
edp;
qualidade agua;
protegida;
propriedades;
conferencias;
protesto;
ordenamento florestal;
combate incendios;
documentos;
serios;
passivo;
associados;
paris;
hidrologico;
testes;
planos;
proprietarios;
montado;
construida;
eletricidade;
arvores;
utilizacao recursos;
sacos;
poluicao;
desertificacao;
limpeza;
parques;
quioto;
combustiveis;
regionais ordenamento;
politica florestal;
setubal;
costeira;
territorio;
hidrograficas;
adequado;
milenio;
florestal;
bacia hidrografica;
contra incendios;
convencao;
rio janeiro;
terrenos;
eficiencia;
regeneracao;
pao;
arrabida;
dominio;
saude publica;
planeamento gestao;
solidos;
poluentes;
politica ambiental;
gas;
bases ambiente;
energia nuclear;
ambientais;
consulta;
industriais perigosos;
plano hidrologico;
prevencao;
reserva;
unidos;
sectoriais;
discussao;
climatica;
planeta;
armazenamento;
impactes ambientais;
gestao florestal;
residuais;
ordenamento territorio;
energias renovaveis;
cadastro;
extraccao;
humanidade;
rios;
co-incineracao;
dedicada;
aproveitamento;
hidrico;
desenvolvimento;
problema;
energetico;
alimentares;
pareceres;
combustivel;
petroleo;
ministro ambiente;
pesquisa;
directiva;
interiores;
produzem;
armas;
erosao;
nuclear;
hidrografica;
impostos;
julgo;
pagamos;
eduardo;
banco;
recessiva;
gaspar;
pib;
racio;
responder;
endividamento;
inflacao;
balanca;
resgate;
macroeconomico;
deputado jeronimo;
tesouro;
desaceleracao;
monetario internacional;
jeronimo;
exportacoes;
austeridade;
defices;
financas;
vitor;
renegociacao;
processo ajustamento;
vou;
cresceu;
empobrecimento;
percentuais;
soberana;
conjuntura;
mendes;
externos;
estrutural;
jeronimo sousa;
despesa;
regressar;
renegociacao divida;
bancada;
orcamental;
divida;
economico;
credibilidade;
sacrificios;
divida nao;
estruturais;
liquida;
diziam;
previsoes;
descida;
monetaria;
cambial;
crescimento;
rodrigues;
crescer;
rating;
juro;
sousa;
memorando;
bce;
nuno;
submissao;
tratado orcamental;
trajectoria;
ouvi;
ferro;
bocadinho;
abrandamento;
publica portuguesa;
santos;
troica;
juros divida;
renegociar;
saldo;
deputado;
economia;
bancarrota;
credores;
criticar;
estabilidade;
assistencia economica;
ferro rodrigues;
especuladores;
trajetoria;
emprestimos;
consolidacao;
externa;
fmi;
divida publica;
externo;
juros;
antonio;
francisco;
disse;
vejo;
monetario;
queda;
pec;
assistencia financeira;
euro;
confianca;
sei;
stock;
martins;
grecia;
cortar;
assistencia;
orcamentais;
fundo monetario;
disseram;
desequilibrios;
taxa juro;
escudo;
catarina;
acho;
macroeconomicos;
divida sustentavel;
deputada;
ajustamento;
macroeconomica;
financiamento economia;
queria;
nominais;
investidores;
programa ajustamento;
ajuda externa;
trimestre;
recessao;
salarios pensoes;
sustentabilidade divida;
economica financeira;
contas;
podermos;
retoma;
entendo;
publicas;
pagar divida;
jose;
defice;
programa assistencia;
superior;
basico;
aprendizagens;
manuais;
educadores;
politecnicos;
escolas;
lectivo;
universitario;
aluno;
formacao;
escolaridade;
disciplinas;
carreira;
pedagogica;
politecnico;
pre-escolar;
escolar;
insucesso;
escola;
professor;
bolsas;
educativo;
propinas;
estudante;
aprendizagem;
conhecimentos;
educativas;
letivo;
aulas;
universidade;
educativa;
alunos;
pedagogico;
curricular;
educacao;
estudantes;
educativos;
professores;
exames;
ensinar;
ensino;
docente;
cursos;
curriculo;
secundario;
escolares;
docentes;
ciencia;
universidades;
doencas;
gravissimo;
condenados;
maioritariamente;
edificio;
incapaz;
droga;
processual;
ponta;
testes;
identificacao;
actos;
artigo;
legislador;
interna;
reinsercao;
conhecidos;
revelado;
policias;
corrupcao;
magistrados;
tribunais;
infraccoes;
prisao;
violacao;
advem;
trafico;
violenta;
gravissimos;
educadores;
jovem;
carencias;
diploma;
criminais;
juridicos;
presos;
psp;
estabelecimentos;
garantias;
policial;
amnistia;
informacoes;
drogas;
ruptura;
recomendacoes;
estabelecimento;
instrucao;
liberdades;
quotidiano;
penal;
prisional;
confronta;
gnr;
justica;
colocado;
judiciais;
juvenil;
policiais;
reclusos;
idades;
criminalidade;
educativa;
medica;
prisionais;
chegando;
juiz;
judiciaria;
criminal;
codigo;
sancoes;
meio;
penas;
antecedente;
crime;
terrorismo;
artigos;
judicial;
guardas;
instalacoes;
minimamente;
policia;
constitucionais;
ilicito;
agente;
menores;
julgamento;
crimes;
antecedentes;
prisoes;
juizes;
contribuicoes;
doente;
internamento;
reguladora;
lares;
diagnostico;
presta;
moderadoras;
profissionais;
vitimas;
semana;
mental;
paliativos;
medicamentos;
medidas;
medico;
plafonamento;
ministro saude;
hospital;
horarios;
ana;
prescricao;
cds;
subsistemas;
precedentes;
aposentacoes;
nacional saude;
adotar;
resposta;
comparticipacoes;
ultrapassadas;
privatizar;
hospitalar;
medicas;
listas;
primarios;
excecionais;
preocupante;
sindicatos;
seguranca;
contribuintes;
virus;
contactos;
utentes;
excecional;
resiliencia;
sustentabilidade sns;
confinamento;
suplementar;
taxas moderadoras;
tratamentos;
consultas;
terapeutica;
dificeis;
pensionistas;
subsistema;
supervisao;
simplificado;
cuidados;
restritivas;
emergencia;
atingimos;
urgencias;
sustentabilidade;
covid;
privados;
funcionarios publicos;
atirar;
servico nacional;
domestica;
agir;
continuados;
deputado;
entidade;
enfermeiros;
vacinacao;
erario;
funcionarios;
servico;
cuidados saude;
cirurgia;
aposentacao;
crise;
clinica;
respostas;
prorrogacao;
ambulatorio;
utente;
medica;
camas;
saude nao;
servicos essenciais;
hospitalares;
hospitais;
medicina;
sns;
doentes;
paga;
medicos;
prestados;
previdencial;
adequadas;
crise sanitaria;
ministra;
privado;
cortar;
caixa;
sanitaria;
farmacias;
layoff;
trabalhadores;
beneficiarios;
teletrabalho;
atividades economicas;
entregar;
cirurgias;
sociais;
momento;
genericos;
pandemia;
vivemos;
semanas;
ideologico;
prestacao cuidados;
saude;
sustentabilidade servico;
medicamento;
descontos;
empregadores;
adse;
doenca;
vacina;
dificil;
pago;
criancas;
contribuicoes;
bases;
corte;
aumento;
idosos;
solidario;
atualizacao;
pensoes;
financeira seguranca;
calculo pensoes;
calculo;
aumento idade;
salarios;
idade reforma;
inflacao;
aumento esperanca;
convergencia pensoes;
plafonamento;
penalizacoes;
reforma antecipada;
caixa geral;
contribuicao;
geral;
atuais;
acesso reforma;
daqui anos;
apoios sociais;
financiamento seguranca;
legal reforma;
salario;
fator;
sustentabilidade seguranca;
formula;
velhice;
invalidez;
aposentacoes;
recebem;
ha problema;
sistema pensoes;
acordao;
financiamento sistema;
seguranca;
bancada;
tsu;
sistema nao;
social sr;
social unica;
abono;
compra;
senhores nao;
subsidio;
anos idade;
geral aposentacoes;
actualizacao;
pobreza;
anos descontos;
problema sustentabilidade;
sistema previdencial;
pensoes baixas;
prestacoes;
nova formula;
factor sustentabilidade;
extraordinaria solidariedade;
taxa social;
aumentos;
estabilizacao financeira;
social nao;
pensionistas;
contributivos;
media vida;
vieira;
minimas;
senhor;
sobre seguranca;
fundos pensoes;
complemento solidario;
sustentabilidade;
carreiras contributivas;
bases seguranca;
idade legal;
trabalhador;
causa sustentabilidade;
carreira;
funcionarios publicos;
esperanca media;
geral seguranca;
contributiva;
carreira contributiva;
corte pensoes;
reformar;
fundo estabilizacao;
trabalhou;
capitalizacao;
complemento;
sustentabilidade sistema;
deputado;
envelhecimento;
vossa;
pensoes reforma;
factor;
publico seguranca;
sustentabilidade nao;
sustentabilidade financeira;
idade;
reforma nao;
estabilizacao;
pensoes minimas;
vossas;
social sistema;
reformados;
aumento pensoes;
pensao;
funcionarios;
ces;
aposentacao;
penalizacao;
seguranca social;
reforma;
solidariedade;
baixas;
contribuicoes seguranca;
sobre sustentabilidade;
vieira silva;
contributivo;
fator sustentabilidade;
previdencial;
actualizacao pensoes;
indexante apoios;
fundo;
social;
sistema seguranca;
formula calculo;
antecipada;
vosso;
demograficas;
miseria;
esperanca;
fontes financiamento;
caixa;
pedreiras;
profissoes;
cortes;
reparticao;
antecipadas;
intergeracional;
trabalhadores;
reforma seguranca;
extraordinaria;
beneficiarios;
inconstitucional;
antecipacao;
sistema;
ex;
contribuicao extraordinaria;
esperanca vida;
sistema publico;
carreiras;
indexante;
social publica;
reforco sustentabilidade;
minimo;
longas carreiras;
diversificacao fontes;
contribuicao sustentabilidade;
convergencia;
financeira;
descontar;
contributivas;
longas;
desgaste;
financeira sistema;
descontos;
apoios;
pobres;
senhores;
proteccao;
adse;
regimes;
proteccao social;
inteira;
